attributes,cells,captions
name gender math reading writing,aaron female 0 17 10,aaron was the worst performer in the exam and she had the lowest scores in all three sections.
name gender math reading writing,landon male 79 74 72,landon did decent and with slightly more effort he could be a top student.
name gender math reading writing,adrian male 39 39 34,adrian performed very badly and he failed in writing.
name gender math reading writing,jonathan male 62 61 55,jonathan's scores were average and he can improve if he practices more.
name gender math reading writing,nolan female 69 80 71,nolan scored alright and did well in reading but she can improve her maths.
name gender math reading writing,jeremiah female 59 58 59,jeremiah scored average marks though she was consistent.
name gender math reading writing,easton male 67 64 61,easton did OK and there is an scope of improvement for him.
name gender math reading writing,elias male 45 37 37,elias nearly failed in both reading and writing and he barely passed in math.
name gender math reading writing,colton female 60 72 74,colton score decent in reading and writing but she can improve in math.
name gender math reading writing,cameron male 61 58 56,cameron scores were average and he can improve if he practices more.
name gender math reading writing,carson female 39 64 57,carson performed poorly in maths where she barely passed.
name gender math reading writing,robert female 58 63 73,robert scores were decent and she can improve if she practices more.
name gender math reading writing,angel male 63 55 63,angel performance was average and he can improve if he practices more.
name gender math reading writing,maverick female 41 51 48,maverick scores were poor and somehow she managed to pass in math.
name gender math reading writing,nicholas male 61 57 56,nicholas performance was average and he can improve if he puts in extra efforts.
name gender math reading writing,dominic male 49 49 41,dominic scores were poor and he barely managed to pass in writing.
name gender math reading writing,jaxson male 44 41 38,jaxson scored poor marks in all three sections and he barely managed to pass in reading and writing.
name gender math reading writing,greyson male 30 26 22,greyson was one of the worst scorers and he failed in all three sections.
name gender math reading writing,adam male 80 78 81,adam did well in all three section and with little effort he can become a top performer.
name gender math reading writing,ian female 61 74 72,ian did alright but she has to work on her math skills.
name gender math reading writing,austin female 62 68 68,austin did alright and there is an scope of improvement for her.
